iter	MultiClass
0	1.688391469
1	1.513793237
2	1.391708499
3	1.293524156
4	1.215195524
5	1.151556797
6	1.095628557
7	1.047984711
8	1.006700601
9	0.9691621787
10	0.9392714732
11	0.9131415504
12	0.8877336324
13	0.8650297124
14	0.8433099134
15	0.8247461801
16	0.8083832975
17	0.7921424797
18	0.7790503873
19	0.768522649
20	0.7571135378
21	0.7479374503
22	0.7378464751
23	0.7296003809
24	0.7208739826
25	0.7129881769
26	0.7055899907
27	0.7006391467
28	0.6946210888
29	0.690027696
30	0.6853168346
31	0.6794120501
32	0.6755486
33	0.6709863491
34	0.6671230047
35	0.662174498
36	0.6587115417
37	0.6546541159
38	0.6517059465
39	0.6477661426
40	0.6451215695
41	0.6418119475
42	0.6386917378
43	0.6356328839
44	0.6334549902
45	0.6312225968
46	0.6275289797
47	0.6247302292
48	0.6224515783
49	0.6202682556
50	0.6178483682
51	0.6166316737
52	0.6151407194
53	0.613506995
54	0.6106769146
55	0.6091262973
56	0.6075404228
57	0.6059416253
58	0.6038529765
59	0.6020948837
60	0.5999981528
61	0.5986215825
62	0.5965917056
63	0.5943252566
64	0.5923721554
65	0.5906335661
66	0.589088797
67	0.5873522653
68	0.5862417382
69	0.5851695498
70	0.5839585252
71	0.5821347667
72	0.5806964227
73	0.5791420262
74	0.5782266204
75	0.5771687089
76	0.5761467261
77	0.5751629747
78	0.5738559532
79	0.5723914148
80	0.5714397936
81	0.5702539926
82	0.5687797563
83	0.5674302489
84	0.5660864869
85	0.5647568065
86	0.5632429754
87	0.5624592983
88	0.5620118738
89	0.5611199671
90	0.5598235921
91	0.5587341939
92	0.5583106075
93	0.5569612764
94	0.5557873478
95	0.5543741327
96	0.5531372724
97	0.5514312353
98	0.5504114634
99	0.5491817742
