iter	Passed	Remaining
0	69	6892
1	77	3809
2	86	2783
3	93	2255
4	101	1932
5	109	1716
6	117	1563
7	128	1480
8	136	1378
9	144	1302
10	152	1235
11	160	1175
12	167	1121
13	175	1078
14	183	1038
15	190	1000
16	198	968
17	207	943
18	214	914
19	221	886
20	228	861
21	236	837
22	245	821
23	254	805
24	265	795
25	273	778
26	281	760
27	290	746
28	298	730
29	306	714
30	313	698
31	321	683
32	330	670
33	337	655
34	345	641
35	353	628
36	361	615
37	369	603
38	377	590
39	385	578
40	393	565
41	400	553
42	409	542
43	416	530
44	424	518
45	431	506
46	440	496
47	447	485
48	456	474
49	464	464
50	472	453
51	478	442
52	485	430
53	498	424
54	506	414
55	514	404
56	522	394
57	532	385
58	540	375
59	549	366
60	559	357
61	567	347
62	577	339
63	585	329
64	592	319
65	600	309
66	609	300
67	618	291
68	626	281
69	637	273
70	645	263
71	654	254
72	663	245
73	672	236
74	680	226
75	688	217
76	696	208
77	704	198
78	713	189
79	721	180
80	729	171
81	738	162
82	745	152
83	755	143
84	763	134
85	773	125
86	781	116
87	789	107
88	796	98
89	804	89
90	812	80
91	819	71
92	827	62
93	835	53
94	843	44
95	852	35
96	860	26
97	868	17
98	876	8
99	884	0
